TimeStep,SOC_Baseline,SOC_Optimized,SoH,Runtime_Base_sec,Runtime_Opt_sec,OptimizerDecision,FinalDecision
0,24.999691,24.99997,24.99997,80999.01,809998.9,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
1,24.999384,24.999937,24.999937,80998.0,809997.94,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
2,24.999077,24.999907,24.999907,80997.01,809996.9,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
3,24.998768,24.999874,24.999874,80996.01,809995.9,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
4,24.99846,24.999842,24.999842,80995.01,809994.8,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
5,24.998152,24.999811,24.999811,80994.016,809993.9,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
6,24.997845,24.999779,24.999779,80993.016,809992.8,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
7,24.997538,24.999748,24.999748,80992.016,809991.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
8,24.997229,24.999718,24.999718,80991.016,809990.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
9,24.99692,24.999685,24.999685,80990.02,809989.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
10,24.996613,24.999655,24.999655,80989.03,809988.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
11,24.996304,24.999622,24.999622,80988.02,809987.7,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
12,24.995996,24.999592,24.999592,80987.03,809986.7,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
13,24.99569,24.99956,24.99956,80986.03,809985.7,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
14,24.99538,24.999527,24.999527,80985.03,809984.7,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
15,24.995071,24.999496,24.999496,80984.04,809983.6,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
16,24.994764,24.999466,24.999466,80983.04,809982.56,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
17,24.994457,24.999434,24.999434,80982.04,809981.6,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
18,24.994148,24.999403,24.999403,80981.04,809980.56,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, LEDs, Fan"
