TimeStep,SOC_Baseline,SOC_Optimized,SoH,Runtime_Base_sec,Runtime_Opt_sec,OptimizerDecision,FinalDecision
0,24.994222222222223,24.99942222222222,100.0,40490.64,40500.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
1,24.98562901234568,24.998562901234568,99.99768888888887,40476.719000000005,40499.064,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
2,24.977527160493825,24.997752716049384,99.99425160493827,40463.594,40497.6719,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
3,24.969367283950618,24.99693672839506,99.99101086419753,40450.375,40496.3594,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
4,24.96122654320988,24.996122654320985,99.98774691358024,40437.187000000005,40495.0375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
5,24.953153703703705,24.99531537037037,99.98449061728394,40424.109000000004,40493.7187,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
6,24.945042592592596,24.99450425925926,99.98126148148148,40410.969000000005,40492.410899999995,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
7,24.936950000000003,24.993695,99.97801703703703,40397.859000000004,40491.0969,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
8,24.928829012345684,24.992882901234566,99.97478,40384.70300000001,40489.785899999995,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
9,24.920717283950623,24.99207172839506,99.97153160493826,40371.562000000005,40488.4703,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
10,24.91260617283951,24.99126061728395,99.96828691358024,40358.42200000001,40487.1562,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
11,24.90449444444445,24.990449444444447,99.9650424691358,40345.28100000001,40485.8422,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
12,24.89641172839507,24.989641172839505,99.96179777777779,40332.187000000005,40484.5281,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
13,24.888329629629634,24.988832962962963,99.95856469135802,40319.09400000001,40483.2187,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
14,24.88024691358025,24.988024691358024,99.95533185185185,40306.00000000001,40481.909400000004,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
15,24.87215432098766,24.987215432098765,99.9520987654321,40292.89000000001,40480.6,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
16,24.864062345679017,24.986406234567898,99.94886172839506,40279.78100000001,40479.289000000004,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
17,24.855979629629633,24.98559796296296,99.94562493827159,40266.687000000005,40477.97809999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
18,24.847887654320992,24.984788765432096,99.94239185185184,40253.57800000001,40476.668699999995,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
19,24.839785802469137,24.98397858024691,99.93915506172839,40240.45300000001,40475.3578,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
20,24.831712962962968,24.983171296296295,99.93591432098764,40227.37500000001,40474.0453,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
21,24.823611111111116,24.98236111111111,99.93268518518518,40214.25000000001,40472.737499999996,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
22,24.815518518518523,24.98155185185185,99.92944444444444,40201.14000000001,40471.424999999996,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
23,24.80743641975309,24.98074364197531,99.9262074074074,40188.047000000006,40470.113999999994,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
24,24.799324691358027,24.9799324691358,99.92297456790124,40174.90600000001,40468.8047,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
25,24.791251851851857,24.979125185185186,99.9197298765432,40161.82800000001,40467.4906,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
26,24.783188271604942,24.978318827160493,99.91650074074074,40148.765,40466.1828,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
27,24.77511543209877,24.977511543209875,99.91327530864197,40135.687000000005,40464.8765,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
28,24.767033333333334,24.976703333333333,99.9100461728395,40122.594000000005,40463.568699999996,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
29,24.75894074074074,24.975894074074077,99.90681333333333,40109.484000000004,40462.2594,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
30,24.75085802469136,24.975085802469135,99.90357629629631,40096.39000000001,40460.9484,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
